Job Title,Updated Date,Location,Company,Min Salary,Max Salary
Backend Engineer (m/w/d),2025-03-05T17:30:28Z,Frankfurt am Main,Plexify GmbH,54500,83000
DevOps Engineer (m/w/d) SonarQube,2025-03-05T17:30:28Z,Koblenz,CompuGroup Medical SE & Co. KGaA,58500,91000
System Engineer (m/w/d),2025-03-05T17:29:45Z,Boos,blackned GmbH,62500,91500
Junior IT Systemadministrator (m/w/d),2025-03-05T17:29:13Z,Passau,DAP GmbH,39500,48500
Software-Tester (m/w/d),2025-03-05T17:29:13Z,Erfurt,PDV.group,30000,47000
Senior Cloud Engineer (m/w/x),2025-03-05T17:27:06Z,Bad Homburg vor der Höhe,Content Software GmbH,60500,92000
(Senior) Java Softwareentwickler (m/w/d) ERP-Systeme,2025-03-05T17:24:36Z,Andernach,SHD Group Holding GmbH,41000,52000
Senior Java Software Entwickler (m/w/d),2025-03-05T17:24:15Z,Chemnitz,Community4you AG,45000,67500
Cloud Compliance and Governance Manager (m/w/d),2025-03-05T17:23:38Z,Monheim am Rhein,EPLAN GmbH & Co. KG,56500,88000
Java Backend Entwickler (m/w/x),2025-03-05T17:23:01Z,Nürnberg,infoteam Software AG,61500,82500
Junior Softwareentwickler (m/w/d),2025-03-05T17:17:31Z,Stuttgart,Softwarehelden GmbH,45000,72000
Senior Softwareentwickler (m/w/d),2025-03-05T17:16:48Z,Stuttgart,Softwarehelden GmbH,58500,86500
Entwickler C++ (m/w/d),2025-03-05T17:15:23Z,Hamburg,DRS Deutsche Retail Services AG,47000,69500
Systemadministrator (m/w/d),2025-03-05T17:13:36Z,Berlin,ID GmbH & Co. KGaA,45000,68500
Systemadministrator (m/w/d) für IT-Infrastruktur,2025-03-05T17:13:04Z,Hockenheim,DIS AG,44000,57000
Systemadministrator (m/w/d) für Backup und Wiederherstellung,2025-03-05T17:13:04Z,Neustadt an der Weinstraße,DIS AG,40500,57000
Systemadministrator (m/w/d) für IT-Sicherheit,2025-03-05T17:13:04Z,Heidelberg,DIS AG,42000,58500
Systemadministrator (m/w/d) für Datenbanken,2025-03-05T17:13:04Z,Brühl,DIS AG,41000,56500
Systemadministrator (m/w/d) für Netzwerkadministration,2025-03-05T17:13:04Z,Mannheim,DIS AG,42000,57500
Systemadministrator (m/w/d) für Linux-Umgebungen,2025-03-05T17:13:04Z,Worms,DIS AG,43500,58500
Linux Administrator (m/w/d),2025-03-05T17:13:03Z,Mannheim,DIS AG,43000,63500
Junior IT-Systemadministrator (m/w/d),2025-03-05T17:13:02Z,Ludwigshafen am Rhein,DIS AG,38500,51500
Data Engineer (AI & Backend Support),2025-03-05T17:06:34Z,Herford,AIFANO GmbH,43000,59500
Software-Entwickler (m/w/d),2025-03-05T17:05:59Z,Dortmund,virtic GmbH & Co. KG,44500,62000
Nachwuchsführungskraft Software Development (m/w/d),2025-03-05T17:05:48Z,Stuttgart,Amadeus Fire AG,75000,85000
"Senior Web-Entwickler (m/w/d) Vue.js, TypeScript",2025-03-05T17:04:45Z,Nürnberg,Bissantz & Company GmbH,50000,78000
Frontend-Developer (m/w/d) React,2025-03-05T17:04:34Z,Kiel,Cap3 GmbH,46000,69000
(Senior) Go Engineer (m/w/d),2025-03-05T17:04:03Z,Offenburg,happyhotel,55000,80000
Softwareentwickler (m/w/x) C# und WPF für den Maschinenbau,2025-03-05T17:04:02Z,Erlangen,infoteam Software AG,45000,65500
Software-Architekt (m/w/d),2025-03-05T17:02:59Z,Neuss,bimanu Cloud Solutions GmbH,61000,87000
React & TypeScript Developer (m/w/d),2025-03-05T17:02:48Z,Fellbach,Jörg Paule Informationssysteme GmbH,47500,72000
Senior Frontend Entwickler (m/w/d),2025-03-05T16:59:59Z,Chemnitz,Community4you AG,47500,69000
