Job Title;Updated Date;Company;Min Salary;Max Salary;Cleaned_City;Latitude;Longitude;country;State
Softwareentwickler Cobol/Java (m/w/d);2025-04-10T11:04:55Z;Finanz Informatik GmbH & Co. KG;;;hannover;523744;97386;Germany;Lower Saxony
Software Security Engineer - Open Source Management (m/w/d);2025-04-10T11:04:50Z;Finanz Informatik GmbH & Co. KG;;;hannover;523744;97386;Germany;Lower Saxony
Database Administrator (m/w/d);2025-04-10T10:46:59Z;edict eGaming GmbH;;;hamburg;535500;100000;Germany;Hamburg
Fullstack Entwickler C# & Angular (m/w/d);2025-04-10T09:13:30Z;Exclusive Associates;;;gießen;505833;86667;Germany;Hesse
Requirements Engineer (m/w/d) Hochschulsoftware;2025-04-10T08:40:19Z;evasys GmbH;;;lüneburg;532525;104144;Germany;Lower Saxony
IT-Security Consultant (m/w/d);2025-04-10T08:38:25Z;SEITENBAU GmbH;;;konstanz;476633;91753;Germany;Baden-Württemberg
Softwareentwickler:in;2025-04-10T08:38:15Z;eXXcellent solutions;;;darmstadt;498667;86500;Germany;Hesse
Softwareentwickler:in;2025-04-10T08:38:15Z;eXXcellent solutions;;;ulm;483984;99916;Germany;Baden-Württemberg
IT-Projektleiter (m/w/d) Softwareentwicklung / Digital Health;2025-04-10T08:37:55Z;BAYOONET AG;;;ludwigsburg;488975;91919;Germany;Baden-Württemberg
IT-Projektleiter (m/w/d) Softwareentwicklung / Digital Health;2025-04-10T08:37:55Z;BAYOONET AG;;;darmstadt;498667;86500;Germany;Hesse
IT-Projektleiter (m/w/d) Softwareentwicklung / Digital Health;2025-04-10T08:37:55Z;BAYOONET AG;;;mönchengladbach;512000;64333;Germany;North Rhine-Westphalia
IT-Projektleiter (m/w/d) Softwareentwicklung / Digital Health;2025-04-10T08:37:55Z;BAYOONET AG;;;berlin;525167;133833;Germany;Berlin
IT- Systemadministrator - Linux (m/w/d);2025-04-10T08:37:30Z;FORMAT Software Service GmbH;;;dreieich;500189;86961;Germany;Hesse
Product Owner / Technical Consultant (m/w/d) - mit remote Anteil;2025-04-10T08:37:26Z;SEITENBAU GmbH;;;konstanz;476633;91753;Germany;Baden-Württemberg
Microsoft 365 Administrator*;2025-04-10T08:21:46Z;Accso - Accelerated Solutions GmbH;;;darmstadt;498667;86500;Germany;Hesse
Senior Projektleitung Strategie- & KI-Projekte (m/w/d);2025-04-10T08:18:29Z;Finanz Informatik GmbH & Co. KG;;;münster;519625;76256;Germany;North Rhine-Westphalia
Softwareentwickler (m/w/d) C#/.NET-Entwickler mit Schwerpunkt Netzwerkkommunikation;2025-04-10T08:14:42Z;medatixx GmbH & Co. KG Jobportal;;;bamberg;498917;108917;Germany;Bavaria
ECM-Consultant (m/w/d)  - Remote;2025-04-10T08:07:51Z;ACTIWARE GmbH;;;burg;522725;118550;Germany;Saxony-Anhalt
Consultant Customer Care (m/w/d)  - Remote oder in 35719;2025-04-10T08:06:36Z;ACTIWARE GmbH;;;burg;522725;118550;Germany;Saxony-Anhalt
Test Automation Engineer (m/f/d);2025-04-10T07:31:51Z;Recruitment Circle GmbH;;;berlin;525167;133833;Germany;Berlin
Software Developer (m/f/d) - 100% Remote mÃ¶glich;2025-04-10T07:10:38Z;Recruitment Circle GmbH;;;berlin;525167;133833;Germany;Berlin
PHP Software Engineer (m/w/d);2025-04-10T01:49:08Z;evasys;;;lüneburg;532525;104144;Germany;Lower Saxony
Software Tester (m/w/d);2025-04-10T00:59:09Z;GK Software SE;;;sankt ingbert;493000;71167;Germany;Saarland
Senior Developer (m/w/d) Retail7;2025-04-10T00:59:08Z;GK Software SE;;;landau;491994;81231;Germany;Rhineland-Palatinate
Senior Developer (m/f/d) Retail7;2025-04-10T00:59:08Z;GK Software SE;;;landau;491994;81231;Germany;Rhineland-Palatinate
E-Learning Entwickler:in (m/w/d);2025-04-10T00:35:06Z;F+U Rhein-Main-Neckar gGmbH;;;darmstadt;498667;86500;Germany;Hesse
Senior Machine Learning Engineer (Computer Vision);2025-04-10T00:22:32Z;Scandit AG;;;landau;491994;81231;Germany;Rhineland-Palatinate
Senior iOS Mobile Software Engineer (ARKit);2025-04-10T00:22:23Z;Scandit AG;;;landau;491994;81231;Germany;Rhineland-Palatinate
IT-Systemadministrator (m/w/d) Container Technologie 633003;2025-04-10T00:15:44Z;Anstalt fÃ¼r Kommunale Datenverarbeitung in Bayern (AKDB);;;mönchengladbach;512000;64333;Germany;North Rhine-Westphalia
(Junior) DevOps Engineer (m/w/d) 633002;2025-04-10T00:15:42Z;Anstalt fÃ¼r Kommunale Datenverarbeitung in Bayern (AKDB);;;mönchengladbach;512000;64333;Germany;North Rhine-Westphalia
Senior Account Executive @SaaS Startup (m/w/d);2025-04-10T00:06:43Z;hellomateo;;;berlin;525167;133833;Germany;Berlin
Linux OS Developer (m/f/d) - Augsburg or Bucharest;2025-04-09T22:13:37Z;IGEL Technology GmbH;;;augsburg;483717;108983;Germany;Bavaria
Senior Software Engineer with focus on macOS (all genders);2025-04-09T22:05:17Z;TeamViewer GmbH;;;stuttgart;487761;91775;Germany;Baden-Württemberg
Senior M A Manager (m/w/d);2025-04-09T21:33:28Z;CompuGroup Medical SE;;;koblenz;503597;75978;Germany;Rhineland-Palatinate
Senior Cloud-Native Developer (f/m/d) SAP BTP Foundation Unified Services & Commercialization;2025-04-09T20:35:12Z;SAP;;;berlin;525167;133833;Germany;Berlin
Developer (f/m/d) for Analytics Cloud Data Connectivity;2025-04-09T20:34:59Z;SAP;;;mörfelden-walldorf;499896;85661;Germany;Hesse
Senior Developer (f/m/d) - SAP Process Automation, Citizen-Developer Experience;2025-04-09T20:34:57Z;SAP;;;berlin;525167;133833;Germany;Berlin
Test APi;2025-04-09T19:29:36Z;race result AG;;;pfinztal;489667;85333;Germany;Baden-Württemberg
Cloud Solutions Architect - AWS (m/f/d);2025-04-09T19:02:33Z;NetApp Deutschland GmbH;;;berlin;525167;133833;Germany;Berlin
Cloud Solution Architect - Google (m/f/d);2025-04-09T19:02:26Z;NetApp Deutschland GmbH;;;landau;491994;81231;Germany;Rhineland-Palatinate
Microsoft 365 Inhouse Consultant (m/w/d);2025-04-09T18:46:15Z;Beckhoff Automation GmbH & Co. KG;;;verl;518831;85167;Germany;North Rhine-Westphalia
Lead Full Stack Developer (m/w/d) - Cloud-Architektur & SaaS-Neuentwicklung;2025-04-09T16:31:46Z;ColorGATE Digital Output Solutions GmbH;;;hannover;523744;97386;Germany;Lower Saxony
IT-Systemadministrator / IT-Servicetechniker (m/w/d) in Dresden;2025-04-09T16:14:32Z;DIS AG;;;dresden;510493;137384;Germany;Saxony
PHP Symfony Entwickler (m/w/d);2025-04-09T16:05:53Z;Amadeus Fire AG;;;potsdam;524000;130667;Germany;Brandenburg
Softwareentwickler (m/w/d) C, C++, C#;2025-04-09T15:07:33Z;Bertrandt AG;;;freiburg im breisgau;479947;78497;Germany;Baden-Württemberg
Web Entwickler / Designer (m/w/d);2025-04-09T13:13:18Z;WeMatch.;;;düsseldorf;512311;67724;Germany;North Rhine-Westphalia
Softwarearchitekt (m/w/d) Cloud-LÃ¶sungen im Team Saturn;2025-04-09T13:12:57Z;SOPTIM AG;;;aachen;507762;60838;Germany;North Rhine-Westphalia
Cloud Security Engineer (m/w/d) fÃ¼r unser AWS-Security-Team;2025-04-09T13:12:17Z;SOPTIM AG;;;aachen;507762;60838;Germany;North Rhine-Westphalia
Mitarbeiter Auslagerungsmanagement und Dienstleistersteuerung (m/w/d);2025-04-09T13:07:37Z;Finanz Informatik GmbH & Co. KG;;;hannover;523744;97386;Germany;Lower Saxony
Softwarearchitekt (m/w/d);2025-04-09T12:59:14Z;FindYou Consulting GmbH;;;berlin;525167;133833;Germany;Berlin
IT-Projekt Manager (m/w/d);2025-04-09T12:44:17Z;FindYou Consulting GmbH;;;berlin;525167;133833;Germany;Berlin
IT-Administrator (m/w/d);2025-04-09T11:19:17Z;DIS AG;;;ludwigshafen;494811;84353;Germany;Rhineland-Palatinate
System Engineer (m/w/d) in Heidelberg;2025-04-09T11:19:17Z;DIS AG;;;heidelberg;494122;87100;Germany;Baden-Württemberg
System Engineer (m/w/d);2025-04-09T11:19:17Z;DIS AG;;;ludwigshafen;494811;84353;Germany;Rhineland-Palatinate
Systemadministrator (m/w/d);2025-04-09T11:19:17Z;DIS AG;;;bad dürkheim;494618;81724;Germany;Rhineland-Palatinate
Webserveradministrator (m/w/d);2025-04-09T11:19:17Z;DIS AG;;;heidelberg;494122;87100;Germany;Baden-Württemberg
System Engineer (m/w/d);2025-04-09T11:19:17Z;DIS AG;;;heidelberg;494122;87100;Germany;Baden-Württemberg
Systemadministrator (m/w/d) fÃ¼r Windows-Umgebungen;2025-04-09T11:19:17Z;DIS AG;;;lingen;525233;73172;Germany;Lower Saxony
Softwareentwickler (m/w/d);2025-04-09T11:19:16Z;DIS AG;;;worms;496319;83653;Germany;Rhineland-Palatinate
Senior IT-Systemadministrator (m/w/d);2025-04-09T11:19:16Z;DIS AG;;;mannheim;494878;84661;Germany;Baden-Württemberg
SAP HANA Administrator (m/w/d);2025-04-09T11:19:16Z;DIS AG;;;mannheim;494878;84661;Germany;Baden-Württemberg
Senior IT-Systemadministrator (m/w/d);2025-04-09T11:19:16Z;DIS AG;;;heidelberg;494122;87100;Germany;Baden-Württemberg
IT-Systemadministrator (m/w/d) Schwerpunkt Virtualisierung;2025-04-09T11:19:15Z;DIS AG;;;mannheim;494878;84661;Germany;Baden-Württemberg
Junior IT-Netzwerkadministrator (m/w/d);2025-04-09T11:19:15Z;DIS AG;;;mannheim;494878;84661;Germany;Baden-Württemberg
1st & 2nd Level IT-Support (m/w/d) Helpdesk;2025-04-09T11:05:19Z;Amadeus Fire AG;;;mannheim;494878;84661;Germany;Baden-Württemberg
Senior Full Stack Developer (PHP/React) - all genders;2025-04-09T10:28:09Z;Pirate Ship Software GmbH;;;hamburg;535500;100000;Germany;Hamburg
Software-Tester (m/w/d);2025-04-09T10:23:02Z;PDV.group;;;erfurt;509787;110328;Germany;Thuringia
Senior Cloud Engineer (m/w/x);2025-04-09T10:22:51Z;Content Software GmbH;;;bad homburg;502292;86105;Germany;Hesse
Java Backend Entwickler (m/w/x);2025-04-09T10:22:08Z;infoteam Software AG;;;arnsberg;513967;80644;Germany;North Rhine-Westphalia
Java-Softwareentwickler (m/w/d) fÃ¼r unseren Standort Essen;2025-04-09T10:21:11Z;SOPTIM AG;;;essen;514508;70131;Germany;North Rhine-Westphalia
